,bnf_name,bnf_code,total_items,total_cost
57,Etanercept_Inj 10mg Vl + Dil,1001030D0AAAFAF,8,265.91301
58,Capecitabine_Tab 500mg,0801030V0AAAAAA,8,1595.6662999999999
59,Amikacin_Inj 250mg/ml 2ml Vl,0501040C0AAAAAA,9,3636.34686
60,Piperacillin/Tazobactam_I/VInf2g/0.25gVl,0501014S0AAAAAA,9,1384.52325
61,Botox_Inj Pdr 200u Vl,0409030B0BCACAG,10,4105.3129
62,Rituximab_I/V Inf 10mg/ml 10ml Vl,0802030F0AAABAB,11,2622.79361
63,Temocillin Sod_Inj 1g Vl,0501012U0AAABAB,13,4087.77178
64,Isavuconazole_Cap 100mg,0502010E0AAAAAA,14,9701.029690000001
65,Erelzi_Inj 50mg/ml 1ml Pf Pen,1001030D0BDACAE,15,20899.423330000005
66,Amoxicillin Sod_Inj 1g Vl,0501013C0AAAEAE,15,313.61784
67,Gelaspan_Ecobag I/V Inf 4% 500ml,0902022I0BFAAAA,16,2482.64135
68,Vancomycin HCl_I/V Inf 1g Vl,0501070U0AAAFAF,16,1190.0572399999999
69,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,16,2478.07403
70,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,17,611.34237
71,Ondemet_Tab 8mg,0406000S0BCADAC,18,1630.2628200000006
72,Abacavir/Lamivudine_Tab 600mg/300mg,0503010Z0AAAAAA,18,3413.7093900000004
73,Zoledronic Acid_I/V Inf 40mcg/ml 100ml,0606020V0AAADAD,19,2710.8271
74,Fluclox Sod_Inj 500mg Vl,0501012G0AAADAD,19,1026.8415499999999
75,Cefotaxime Sod_Inj 500mg Vl,0501021D0AAAAAA,20,266.15719
76,Botox_Inj 100u Vl,0409030B0BCAAAE,23,4687.13717
77,Metoprolol Tart_Inj 1mg/ml 5ml Amp,0204000K0AAAAAA,27,2766.6591900000003
78,Levobupivac HCl_Inj 2.5mg/ml 10ml Amp,1502010V0AAAAAA,30,286.2823
79,Nutricia_preOp Liq,090402000BBQFA0,30,1260.74271
80,Fluclox Sod_Inj 1g Vl,0501012G0AAAEAE,33,4074.6974000000005
81,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,35,889.7195100000002
82,Chirocaine_Inj 5mg/ml 10ml Amp,1502010V0BBABAB,36,67.65898
83,Esomeprazole_Inj 40mg Vl (Dry),0103050E0AAACAC,40,4845.7216
84,Meropenem_Inj 1g Vl (Dry),0501022A0AAABAB,41,25187.708799999997
85,"Promixin_Inj 1,000,000u Vl (Dry)",0501070I0BCABAB,42,7398.465790000001
86,Cefotaxime Sod_Inj 1g Vl,0501021D0AAABAB,43,470.69244
87,Methotrexate_Inj 2.5mg/ml 2ml Vl,0801030P0AAAIAI,43,1272.67168
88,Zuclopenth Acet_Inj 50mg/ml 1ml Amp,040201010AAAAAA,44,685.96569
89,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,48,7872.455599999999
90,Botulinum A Toxin_Inj Pdr 100u Vl,0409030B0AAAEAE,50,13696.825719999997
91,Omeprazole_I/V Inf 40mg Vl,0103050P0AAAVAV,54,6784.428999999998
92,Cefuroxime Sod_Inj 750mg Vl,0501021J0AAABAB,61,2950.7725899999996
93,Emtricitabine/Tenofovir_Tab 200mg/245mg,0503010AAAAAAAA,62,15568.933420000001
94,Ceftazidime Pentahyd_Inj 2g Vl,0501021H0AAACAC,66,5708.63662
95,Enbrel_Inj 50mg/ml 1ml Pf MyClic Pen,1001030D0BBAFAE,66,127340.46087000001
96,Piperacillin/Tazobactam_I/VInf 4g/0.5gVl,0501014S0AAABAB,67,15634.700459999998
97,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,79,7657.305239999998
98,Fluclox Sod_Inj 250mg Vl,0501012G0AAACAC,94,7490.105600000002
99,Tolvaptan_Tab 15mg,0605020Y0AAAAAA,108,72741.90343000003
100,Ertapenem Sod_I/V Inf 1g Vl (Dry),0501022B0AAAAAA,119,35007.337989999985
101,Ceftriaxone Sod_Inj 250mg Vl,0501021G0AAABAB,119,551.4955599999998
102,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,122,26135.39362
103,Chirocaine_Inj 2.5mg/ml 10ml Amp,1502010V0BBAAAA,123,160.89682
104,Alprostadil_S/Pack Inj 10mcg Cart,0704050B0AABMBM,127,5475.332740000001
105,Pantoprazole_Inj 40mg Vl,0103050R0AAACAC,138,13859.933969999996
106,Amoxicillin Sod_Inj 500mg Vl,0501013C0AAADAD,145,2811.59701
107,Phenylbutazone_Tab 100mg,1001010Q0AAABAB,153,18565.21741
108,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,240,4557.918220000002
109,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,258,12670.734810000007
110,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,368,17961.537879999993
111,Alprostadil_S/Pack Inj 40mcg Cart,0704050B0AABNBN,436,25358.491059999993
112,Levetiracetam_I/V Inf 100mg/ml 5ml Vl,0408010A0AAAJAJ,437,132779.15227000002
113,Viridal Duo_S/Pack Inj 20mcg Cart,0704050B0BCAGBL,440,17831.813070000022
114,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,442,18902.480530000004
115,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,444,20385.178009999996
116,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,494,66868.99019999999
117,Viridal Duo_S/Pack Inj 10mcg Cart,0704050B0BCAHBM,523,15065.96679
118,Viridal Duo_S/Pack Inj 40mcg Cart,0704050B0BCAIBN,672,37155.91751999998
119,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,877,23252.96320000001
120,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1060,98595.93325000002
121,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,1145,56009.569200000005
122,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2114,13526.403290000011
123,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,3451,800765.3280800005
124,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,3922,212841.4282999995
125,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,4812,481775.57937000034
126,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,34711,596731.2204200003
