supplier,month,bnf_name,bnf_code,total_items,total_cost
EMIS,2016-01-01,Noxafil_Oral Susp 40mg/ml,0502010A0BBAAAA,11,38108.59
EMIS,2016-01-01,Emtricitabine/Tenofovir_Tab 200mg/245mg,0503010AAAAAAAA,1,460.08
EMIS,2016-01-01,Tolvaptan_Tab 15mg,0605020Y0AAAAAA,17,14278.6
EMIS,2016-01-01,Tolvaptan_Tab 30mg,0605020Y0AAABAB,1,138.06
EMIS,2016-01-01,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,3,463.86
EMIS,2016-01-01,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,2,136.05
EMIS,2016-01-01,Alprostadil_S/Pack Inj 10mcg Cart,0704050B0AABMBM,2,74.42
EMIS,2016-01-01,Alprostadil_S/Pack Inj 40mcg Cart,0704050B0AABNBN,2,192.88
EMIS,2016-01-01,Viridal Duo_S/Pack Inj 20mcg Cart,0704050B0BCAGBL,2,68.03
EMIS,2016-01-01,Viridal Duo_S/Pack Inj 10mcg Cart,0704050B0BCAHBM,4,111.66
EMIS,2016-01-01,Viridal Duo_S/Pack Inj 40mcg Cart,0704050B0BCAIBN,1,110.23
EMIS,2016-01-01,Calc Folinate_Inj 10mg/ml 10ml Vl,0801000I0AAATAT,1,129.09
EMIS,2016-01-01,Methotrexate_Inj 2.5mg/ml 2ml Vl,0801030P0AAAIAI,3,70.21000000000001
EMIS,2016-01-01,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,5,155.56
EMIS,2016-01-01,Nutricia_preOp Liq,090402000BBQFA0,4,341.41
EMIS,2016-01-01,Phenylbutazone_Tab 100mg,1001010Q0AAABAB,2,208.70999999999998
EMIS,2016-01-01,Etanercept_Inj 25mg Vl + Dil,1001030D0AAAAAA,1,990.59
EMIS,2016-01-01,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,15,737.3400000000001
EMIS,2016-01-01,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,138,1002.4200000000001
EMIS,2016-01-01,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,8,139.81
EMIS,2016-01-01,Toradol_Inj 30mg/ml 1ml Amp,1501042E0BBAAAA,2,114.98
EMIS,2016-01-01,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,25,990.8599999999997
EMIS,2016-01-01,Levobupivac HCl_Inj 2.5mg/ml 10ml Amp,1502010V0AAAAAA,11,143.87
EMIS,2016-01-01,Levobupivac HCl_Inj 5mg/ml 10ml Amp,1502010V0AAABAB,1,1.5
EMIS,2016-01-01,Chirocaine_Inj 2.5mg/ml 10ml Amp,1502010V0BBAAAA,3,3.9000000000000004
EMIS,2016-02-01,Omeprazole_I/V Inf 40mg Vl,0103050P0AAAVAV,1,168.28
EMIS,2016-02-01,Pantoprazole_Inj 40mg Vl,0103050R0AAACAC,3,392.34000000000003
EMIS,2016-02-01,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,24,758.3399999999999
EMIS,2016-02-01,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,36,3153.01
EMIS,2016-02-01,Zuclopenth Acet_Inj 50mg/ml 1ml Amp,040201010AAAAAA,6,85.61
EMIS,2016-02-01,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,1,18.04
EMIS,2016-02-01,Ondemet_Tab 8mg,0406000S0BCADAC,1,301.86
EMIS,2016-02-01,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,882,18380.100000000006
EMIS,2016-02-01,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,164,10786.14
EMIS,2016-02-01,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,131,36318.61
EMIS,2016-02-01,Levetiracetam_I/V Inf 100mg/ml 5ml Vl,0408010A0AAAJAJ,2,1412.12
EMIS,2016-02-01,Botulinum A Toxin_Inj Pdr 100u Vl,0409030B0AAAEAE,1,126.73
EMIS,2016-02-01,Fluclox Sod_Inj 500mg Vl,0501012G0AAADAD,1,22.69
EMIS,2016-02-01,Fluclox Sod_Inj 1g Vl,0501012G0AAAEAE,4,825.5400000000001
EMIS,2016-02-01,Temocillin Sod_Inj 1g Vl,0501012U0AAABAB,1,659.48
EMIS,2016-02-01,Amoxicillin Sod_Inj 250mg Vl,0501013C0AAACAC,1,9.44
EMIS,2016-02-01,Amoxicillin Sod_Inj 500mg Vl,0501013C0AAADAD,5,37.27
EMIS,2016-02-01,Amoxicillin Sod_Inj 1g Vl,0501013C0AAAEAE,1,42.71
EMIS,2016-02-01,Co-Amoxiclav_Inj 500mg/100mg Vl,0501013K0AAAEAE,5,147.48
EMIS,2016-02-01,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,2,100.21000000000001
EMIS,2016-02-01,Piperacillin/Tazobactam_I/VInf 4g/0.5gVl,0501014S0AAABAB,6,2416.76
EMIS,2016-02-01,Cefotaxime Sod_Inj 500mg Vl,0501021D0AAAAAA,1,5.55
EMIS,2016-02-01,Cefotaxime Sod_Inj 1g Vl,0501021D0AAABAB,2,97.19
EMIS,2016-02-01,Ceftriaxone Sod_Inj 250mg Vl,0501021G0AAABAB,10,40.03
EMIS,2016-02-01,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,47,2376.4100000000003
EMIS,2016-02-01,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,37,3727.8500000000004
EMIS,2016-02-01,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,4,810.11
EMIS,2016-02-01,Ceftazidime Pentahyd_Inj 2g Vl,0501021H0AAACAC,2,128.2
EMIS,2016-02-01,Cefuroxime Sod_Inj 750mg Vl,0501021J0AAABAB,1,23.33
EMIS,2016-02-01,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,11,3517.59
EMIS,2016-02-01,Meropenem_Inj 1g Vl (Dry),0501022A0AAABAB,7,2090.06
EMIS,2016-02-01,Ertapenem Sod_I/V Inf 1g Vl (Dry),0501022B0AAAAAA,15,3807.88
EMIS,2016-02-01,Amikacin_Inj 250mg/ml 2ml Vl,0501040C0AAAAAA,11,4295.990000000001
EMIS,2016-02-01,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,31,2225.4500000000003
EMIS,2016-02-01,Clarithromycin_I/V Inf 500mg Vl,0501050B0AAACAC,4,262.41
EMIS,2016-02-01,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,237,24592.700000000004
EMIS,2016-02-01,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,4,263.8
EMIS,2016-02-01,Vancomycin HCl_I/V Inf 1g Vl,0501070U0AAAFAF,3,998.14
EMIS,2016-02-01,Noxafil_Oral Susp 40mg/ml,0502010A0BBAAAA,21,71369.09
EMIS,2016-02-01,Tolvaptan_Tab 15mg,0605020Y0AAAAAA,13,8432.650000000001
EMIS,2016-02-01,Tolvaptan_Tab 30mg,0605020Y0AAABAB,1,138.34
EMIS,2016-02-01,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,3,342.21000000000004
EMIS,2016-02-01,Zoledronic Acid_I/V Inf 40mcg/ml 100ml,0606020V0AAADAD,4,599.99
EMIS,2016-02-01,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,2,159.03
EMIS,2016-02-01,Alprostadil_S/Pack Inj 10mcg Cart,0704050B0AABMBM,1,37.28
EMIS,2016-02-01,Alprostadil_S/Pack Inj 40mcg Cart,0704050B0AABNBN,1,55.24
EMIS,2016-02-01,Viridal Duo_S/Pack Inj 40mcg Cart,0704050B0BCAIBN,1,55.24
EMIS,2016-02-01,Cyclophosphamide_Inj 1g Vl,0801010H0AAADAD,1,15.8
EMIS,2016-02-01,Methotrexate_Inj 2.5mg/ml 2ml Vl,0801030P0AAAIAI,2,64.64
EMIS,2016-02-01,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,2,37.41
EMIS,2016-02-01,Rituximab_I/V Inf 10mg/ml 10ml Vl,0802030F0AAABAB,1,161.72
EMIS,2016-02-01,Nutricia_preOp Liq,090402000BBQFA0,4,342.09
EMIS,2016-02-01,Phenylbutazone_Tab 100mg,1001010Q0AAABAB,6,221.39
EMIS,2016-02-01,Etanercept_Inj 10mg Vl + Dil,1001030D0AAAFAF,1,33.21
EMIS,2016-02-01,Enbrel_Inj 25mg Vl + Dil,1001030D0BBAAAA,1,82.84
EMIS,2016-02-01,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,9,836.06
EMIS,2016-02-01,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,126,1094.9399999999998
EMIS,2016-02-01,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,5,40.709999999999994
EMIS,2016-02-01,Toradol_Inj 30mg/ml 1ml Amp,1501042E0BBAAAA,1,55.67
EMIS,2016-02-01,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,50,2651.36
EMIS,2016-02-01,Levobupivac HCl_Inj 2.5mg/ml 10ml Amp,1502010V0AAAAAA,3,22.44
EMIS,2016-02-01,Chirocaine_Inj 2.5mg/ml 10ml Amp,1502010V0BBAAAA,1,1.3
EMIS,2016-03-01,Pantoprazole_Inj 40mg Vl,0103050R0AAACAC,2,250.63
EMIS,2016-03-01,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,21,475.3499999999999
EMIS,2016-03-01,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,47,3475.370000000001
EMIS,2016-03-01,Zuclopenth Acet_Inj 50mg/ml 1ml Amp,040201010AAAAAA,8,112.6
EMIS,2016-03-01,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,1,18.04
EMIS,2016-03-01,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,791,16796.980000000003
EMIS,2016-03-01,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,173,11473.220000000001
EMIS,2016-03-01,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,116,27982.41
EMIS,2016-03-01,Levetiracetam_I/V Inf 100mg/ml 5ml Vl,0408010A0AAAJAJ,9,2121.35
EMIS,2016-03-01,Botox_Inj 100u Vl,0409030B0BCAAAE,2,255.87
EMIS,2016-03-01,Botox_Inj Pdr 50u Vl,0409030B0BCABAD,1,76.73
EMIS,2016-03-01,Fluclox Sod_Inj 500mg Vl,0501012G0AAADAD,2,77.22999999999999
EMIS,2016-03-01,Fluclox Sod_Inj 1g Vl,0501012G0AAAEAE,7,553.94
EMIS,2016-03-01,Amoxicillin Sod_Inj 500mg Vl,0501013C0AAADAD,13,202.68999999999997
EMIS,2016-03-01,Amoxicillin Sod_Inj 1g Vl,0501013C0AAAEAE,2,21.43
EMIS,2016-03-01,Co-Amoxiclav_Inj 500mg/100mg Vl,0501013K0AAAEAE,2,25.64
EMIS,2016-03-01,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,3,62.28
EMIS,2016-03-01,Piperacillin/Tazobactam_I/VInf 4g/0.5gVl,0501014S0AAABAB,8,3892.35
EMIS,2016-03-01,Cefotaxime Sod_Inj 500mg Vl,0501021D0AAAAAA,2,10.27
EMIS,2016-03-01,Cefotaxime Sod_Inj 1g Vl,0501021D0AAABAB,6,53.23
EMIS,2016-03-01,Ceftriaxone Sod_Inj 250mg Vl,0501021G0AAABAB,11,40.120000000000005
EMIS,2016-03-01,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,51,2669.8599999999997
EMIS,2016-03-01,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,42,4811.949999999999
EMIS,2016-03-01,Ceftazidime Pentahyd_Inj 500mg Vl,0501021H0AAAAAA,1,4.09
EMIS,2016-03-01,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,10,2383.4300000000003
EMIS,2016-03-01,Ceftazidime Pentahyd_Inj 2g Vl,0501021H0AAACAC,4,1344.3899999999999
EMIS,2016-03-01,Ceftazidime Pentahyd_Inj 3g Vl,0501021H0AAAHAH,1,572.3
EMIS,2016-03-01,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,8,1946.24
EMIS,2016-03-01,Meropenem_Inj 1g Vl (Dry),0501022A0AAABAB,12,4672.639999999999
EMIS,2016-03-01,Ertapenem Sod_I/V Inf 1g Vl (Dry),0501022B0AAAAAA,11,2812.6800000000003
EMIS,2016-03-01,Amikacin_Inj 250mg/ml 2ml Vl,0501040C0AAAAAA,13,5807.59
EMIS,2016-03-01,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,41,3006.56
EMIS,2016-03-01,Clarithromycin_I/V Inf 500mg Vl,0501050B0AAACAC,1,52.5
EMIS,2016-03-01,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,238,24584.26
EMIS,2016-03-01,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,2,382.32
EMIS,2016-03-01,Vancomycin HCl_I/V Inf 1g Vl,0501070U0AAAFAF,3,333.13
EMIS,2016-03-01,Daptomycin_I/V Inf 350mg Vl (Dry),0501070Y0AAAAAA,1,344.36
EMIS,2016-03-01,Noxafil_Oral Susp 40mg/ml,0502010A0BBAAAA,18,63656.56
EMIS,2016-03-01,Isavuconazole_Cap 100mg,0502010E0AAAAAA,1,39.74
EMIS,2016-03-01,Emtricitabine/Tenofovir_Tab 200mg/245mg,0503010AAAAAAAA,3,1271.53
EMIS,2016-03-01,Tolvaptan_Tab 15mg,0605020Y0AAAAAA,16,13481.14
EMIS,2016-03-01,Tolvaptan_Tab 30mg,0605020Y0AAABAB,1,276.63
EMIS,2016-03-01,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,2,303.69
EMIS,2016-03-01,Zoledronic Acid_I/V Inf 40mcg/ml 100ml,0606020V0AAADAD,1,138.86
EMIS,2016-03-01,Alprostadil_S/Pack Inj 10mcg Cart,0704050B0AABMBM,1,74.56
EMIS,2016-03-01,Viridal Duo_S/Pack Inj 20mcg Cart,0704050B0BCAGBL,3,68.19999999999999
EMIS,2016-03-01,Viridal Duo_S/Pack Inj 10mcg Cart,0704050B0BCAHBM,2,37.32
EMIS,2016-03-01,Viridal Duo_S/Pack Inj 40mcg Cart,0704050B0BCAIBN,1,27.64
EMIS,2016-03-01,Calc Folinate_Inj 10mg/ml 10ml Vl,0801000I0AAATAT,1,129.38
EMIS,2016-03-01,Methotrexate_Inj 2.5mg/ml 2ml Vl,0801030P0AAAIAI,3,66.99
EMIS,2016-03-01,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,5,120.81
EMIS,2016-03-01,Nutricia_preOp Liq,090402000BBQFA0,3,256.63
EMIS,2016-03-01,Phenylbutazone_Tab 100mg,1001010Q0AAABAB,6,717.8
EMIS,2016-03-01,Etanercept_Inj 50mg/ml 1ml Pf Pen,1001030D0AAAEAE,3,993.0300000000001
EMIS,2016-03-01,Fampridine_Tab 10mg M/R,1002010U0AAABAB,1,167.56
EMIS,2016-03-01,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,17,1567.1000000000001
EMIS,2016-03-01,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,126,855.6999999999999
EMIS,2016-03-01,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,5,126.36999999999999
EMIS,2016-03-01,Toradol_Inj 30mg/ml 1ml Amp,1501042E0BBAAAA,1,55.68
EMIS,2016-03-01,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,27,1537.4999999999998
EMIS,2016-03-01,Rapifen Intensive Care_Inj 5mg/1ml Amp,1501043A0BBADAD,1,64.4
EMIS,2016-03-01,Levobupivac HCl_Inj 2.5mg/ml 10ml Amp,1502010V0AAAAAA,5,36.93
EMIS,2016-03-01,Chirocaine_Inj 2.5mg/ml 10ml Amp,1502010V0BBAAAA,2,3.92
EMIS,2016-04-01,Omeprazole_I/V Inf 40mg Vl,0103050P0AAAVAV,2,336.56
EMIS,2016-04-01,Pantoprazole_Inj 40mg Vl,0103050R0AAACAC,6,844.2
EMIS,2016-04-01,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,33,555.59
EMIS,2016-04-01,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,48,4365.07
EMIS,2016-04-01,Zuclopenth Acet_Inj 50mg/ml 1ml Amp,040201010AAAAAA,7,157.32
EMIS,2016-04-01,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,2,62.86
EMIS,2016-04-01,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,871,16095.32
EMIS,2016-04-01,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,143,8913.9
EMIS,2016-04-01,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,140,30815.850000000002
EMIS,2016-04-01,Levetiracetam_I/V Inf 100mg/ml 5ml Vl,0408010A0AAAJAJ,8,3061.52
EMIS,2016-04-01,Botulinum A Toxin_Inj Pdr 100u Vl,0409030B0AAAEAE,1,126.72
EMIS,2016-04-01,Botox_Inj Pdr 200u Vl,0409030B0BCACAG,1,255.78
EMIS,2016-04-01,Fluclox Sod_Inj 250mg Vl,0501012G0AAACAC,1,31.85
EMIS,2016-04-01,Fluclox Sod_Inj 1g Vl,0501012G0AAAEAE,3,235.93
EMIS,2016-04-01,Amoxicillin Sod_Inj 500mg Vl,0501013C0AAADAD,5,186.88
EMIS,2016-04-01,Amoxicillin Sod_Inj 1g Vl,0501013C0AAAEAE,2,21.43
EMIS,2016-04-01,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,4,51.36
EMIS,2016-04-01,Piperacillin/Tazobactam_I/VInf 4g/0.5gVl,0501014S0AAABAB,4,602.46
EMIS,2016-04-01,Cefotaxime Sod_Inj 500mg Vl,0501021D0AAAAAA,1,5.55
EMIS,2016-04-01,Cefotaxime Sod_Inj 1g Vl,0501021D0AAABAB,6,151.91
EMIS,2016-04-01,Ceftriaxone Sod_Inj 250mg Vl,0501021G0AAABAB,12,75.59
EMIS,2016-04-01,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,49,2793.11
EMIS,2016-04-01,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,37,6478.88
EMIS,2016-04-01,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,1,170.83
EMIS,2016-04-01,Ceftazidime Pentahyd_Inj 2g Vl,0501021H0AAACAC,1,27.22
EMIS,2016-04-01,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,9,2582.2999999999997
EMIS,2016-04-01,Meropenem_Inj 1g Vl (Dry),0501022A0AAABAB,4,1813.63
EMIS,2016-04-01,Ertapenem Sod_I/V Inf 1g Vl (Dry),0501022B0AAAAAA,21,4774.379999999999
EMIS,2016-04-01,Amikacin_Inj 250mg/ml 2ml Vl,0501040C0AAAAAA,5,1350.5300000000002
EMIS,2016-04-01,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,44,3302.2800000000007
EMIS,2016-04-01,Clarithromycin_I/V Inf 500mg Vl,0501050B0AAACAC,3,227.41
EMIS,2016-04-01,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,247,26302.010000000002
EMIS,2016-04-01,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,4,439.38
EMIS,2016-04-01,Vancomycin HCl_I/V Inf 1g Vl,0501070U0AAAFAF,5,390.57
EMIS,2016-04-01,Abacavir/Lamivudine_Tab 600mg/300mg,0503010Z0AAAAAA,1,277.09
EMIS,2016-04-01,Tolvaptan_Tab 15mg,0605020Y0AAAAAA,22,12856.150000000001
EMIS,2016-04-01,Tolvaptan_Tab 30mg,0605020Y0AAABAB,1,691.1
EMIS,2016-04-01,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,1,137.02
EMIS,2016-04-01,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,4,136.32
EMIS,2016-04-01,Alprostadil_S/Pack Inj 10mcg Cart,0704050B0AABMBM,1,18.63
EMIS,2016-04-01,Alprostadil_S/Pack Inj 40mcg Cart,0704050B0AABNBN,1,55.23
EMIS,2016-04-01,Viridal Duo_S/Pack Inj 20mcg Cart,0704050B0BCAGBL,2,68.17
EMIS,2016-04-01,Viridal Duo_S/Pack Inj 10mcg Cart,0704050B0BCAHBM,1,18.65
EMIS,2016-04-01,Viridal Duo_S/Pack Inj 40mcg Cart,0704050B0BCAIBN,2,110.47
EMIS,2016-04-01,Calc Folinate_Inj 10mg/ml 10ml Vl,0801000I0AAATAT,1,129.35
EMIS,2016-04-01,Methotrexate_Inj 2.5mg/ml 2ml Vl,0801030P0AAAIAI,2,64.64
EMIS,2016-04-01,Nutricia_preOp Liq,090402000BBQFA0,3,188.15
EMIS,2016-04-01,Phenylbutazone_Tab 100mg,1001010Q0AAABAB,7,843.9300000000001
EMIS,2016-04-01,Etanercept_Inj 50mg/ml 1ml Pf Pen,1001030D0AAAEAE,1,165.53
EMIS,2016-04-01,Etanercept_Inj 10mg Vl + Dil,1001030D0AAAFAF,2,66.42
EMIS,2016-04-01,Enbrel_Inj 50mg/ml Pfs,1001030D0BBACAC,1,165.53
EMIS,2016-04-01,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,12,1225.5900000000001
EMIS,2016-04-01,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,125,893.6700000000001
EMIS,2016-04-01,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,7,114.23999999999998
EMIS,2016-04-01,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,48,2698.49
EMIS,2016-04-01,Rapifen Intensive Care_Inj 5mg/1ml Amp,1501043A0BBADAD,1,42.93
EMIS,2016-04-01,Levobupivac HCl_Inj 2.5mg/ml 10ml Amp,1502010V0AAAAAA,6,69.36
EMIS,2016-04-01,Levobupivac HCl_Inj 5mg/ml 10ml Amp,1502010V0AAABAB,1,1.5
EMIS,2016-04-01,Chirocaine_Inj 2.5mg/ml 10ml Amp,1502010V0BBAAAA,1,1.3
EMIS,2016-05-01,Pantoprazole_Inj 40mg Vl,0103050R0AAACAC,3,376.65999999999997
EMIS,2016-05-01,Metoprolol Tart_Inj 1mg/ml 5ml Amp,0204000K0AAAAAA,2,312.44
EMIS,2016-05-01,"Adren_Inj 1/10,000 10ml Pfs",0207030A0AAABAB,1,12.95
EMIS,2016-05-01,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,26,367.15999999999997
EMIS,2016-05-01,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,40,2453.95
EMIS,2016-05-01,Zuclopenth Acet_Inj 50mg/ml 1ml Amp,040201010AAAAAA,10,193.50000000000003
EMIS,2016-05-01,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,822,16112.220000000005
EMIS,2016-05-01,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,195,13097.2
EMIS,2016-05-01,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,110,31947.879999999997
